"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C6,C7","2","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"C8,C9","2","10nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"D1,D2,D3,D4,D6,D7","6","Led_RGB_CA","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_Cree-PLCC4_5x5mm_CW",""
"D5","1","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D3.0mm",""
"J1","1","Led output","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_1.00mm:PinHeader_1x20_P1.00mm_Vertical",""
"J2","1","Led Input","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_1.00mm:PinHeader_1x20_P1.00mm_Vertical",""
"J3","1","Conn_01x03","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical",""
"JP1","1","M10LOCK","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_1.00mm:PinHeader_1x10_P1.00mm_Vertical",""
"N1,N2,N3,N4,N5,N6","6","IN-12B","","","","","${EXCLUDE_FROM_POS_FILES}","nixies-us:nixies-us-IN-12-DSUB-NOHOLE",""
"Q1","1","Q_NMOS_GSD","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23",""
"R1,R10,R13,R16,R20,R23","6","100R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2,R3,R11,R12,R14,R15,R17,R18,R19,R21,R22,R24,R25","13","120R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4,R5,R6,R7,R8,R9","6","1K5","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R26,R27","2","10K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"U1","1","74LVC1G79","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U2,U3","2","HV5122","","","","","${EXCLUDE_FROM_POS_FILES}","HV5122PG-G:QFP80P1390X1390X235-44N",""
