"Refs","Value","Footprint","Qty","DNP"
"C6","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C7","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C8","10nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C9","10nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"D1","Led_RGB_CA","LED_SMD:LED_Cree-PLCC4_5x5mm_CW","1",""
"D2","Led_RGB_CA","LED_SMD:LED_Cree-PLCC4_5x5mm_CW","1",""
"D3","Led_RGB_CA","LED_SMD:LED_Cree-PLCC4_5x5mm_CW","1",""
"D4","Led_RGB_CA","LED_SMD:LED_Cree-PLCC4_5x5mm_CW","1",""
"D5","LED","LED_THT:LED_D3.0mm","1",""
"D6","Led_RGB_CA","LED_SMD:LED_Cree-PLCC4_5x5mm_CW","1",""
"D7","Led_RGB_CA","LED_SMD:LED_Cree-PLCC4_5x5mm_CW","1",""
"J1","Led output","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","1",""
"J2","Led Input","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","1",""
"J3","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"JP1","M10LOCK","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","1",""
"N1","IN-12B","nixies-us:nixies-us-IN-12-DSUB-NOHOLE","1",""
"N2","IN-12B","nixies-us:nixies-us-IN-12-DSUB-NOHOLE","1",""
"N3","IN-12B","nixies-us:nixies-us-IN-12-DSUB-NOHOLE","1",""
"N4","IN-12B","nixies-us:nixies-us-IN-12-DSUB-NOHOLE","1",""
"N5","IN-12B","nixies-us:nixies-us-IN-12-DSUB-NOHOLE","1",""
"N6","IN-12B","nixies-us:nixies-us-IN-12-DSUB-NOHOLE","1",""
"Q1","Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","1",""
"R1","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R3","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R5","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R6","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R7","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R8","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R9","1K5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R10","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R11","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R12","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R13","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R14","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R15","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R16","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R17","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R18","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R19","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R20","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R21","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R22","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R23","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R24","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R25","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R26","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R27","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U1","74LVC1G79","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1",""
"U2","HV5122","HV5122PG-G:QFP80P1390X1390X235-44N","1",""
"U3","HV5122","HV5122PG-G:QFP80P1390X1390X235-44N","1",""
