Ref,Val,Package,PosX,PosY,Rot,Side
"C6","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",58.775000,-57.075000,90.000000,top
"C7","100nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",246.125000,-50.550000,-90.000000,top
"C8","10nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",62.200000,-57.075000,90.000000,top
"C9","10nF","C_Disc_D4.7mm_W2.5mm_P5.00mm",242.875000,-50.550000,-90.000000,top
"D1","Led_RGB_CA","LED_Cree-PLCC4_5x5mm_CW",94.825000,-52.171590,180.000000,top
"D2","Led_RGB_CA","LED_Cree-PLCC4_5x5mm_CW",117.705000,-52.171590,180.000000,top
"D3","Led_RGB_CA","LED_Cree-PLCC4_5x5mm_CW",140.585000,-52.171590,180.000000,top
"D4","Led_RGB_CA","LED_Cree-PLCC4_5x5mm_CW",163.465000,-52.171590,180.000000,top
"D5","LED","LED_D3.0mm",51.280000,-37.700000,0.000000,top
"D6","Led_RGB_CA","LED_Cree-PLCC4_5x5mm_CW",186.345000,-52.171590,180.000000,top
"D7","Led_RGB_CA","LED_Cree-PLCC4_5x5mm_CW",209.225000,-52.171590,180.000000,top
"J1","Led output","PinHeader_1x18_P2.54mm_Vertical",130.540000,-131.802500,90.000000,top
"J2","Led Input","PinHeader_1x18_P2.54mm_Vertical",130.565000,-69.725000,90.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",162.430000,-97.527500,-90.000000,top
"JP1","M10LOCK","PinHeader_1x07_P2.54mm_Vertical",50.000000,-57.165000,180.000000,top
"N1","IN-12B","nixies-us-IN-12-DSUB-NOHOLE",94.825000,-52.171590,0.000000,top
"N2","IN-12B","nixies-us-IN-12-DSUB-NOHOLE",117.705000,-52.171590,0.000000,top
"N3","IN-12B","nixies-us-IN-12-DSUB-NOHOLE",140.585000,-52.171590,0.000000,top
"N4","IN-12B","nixies-us-IN-12-DSUB-NOHOLE",163.465000,-52.171590,0.000000,top
"N5","IN-12B","nixies-us-IN-12-DSUB-NOHOLE",186.345000,-52.171590,0.000000,top
"N6","IN-12B","nixies-us-IN-12-DSUB-NOHOLE",209.225000,-52.171590,0.000000,top
"Q1","Q_NMOS_GSD","SOT-23",248.337500,-66.512500,0.000000,top
"R1","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.430000,-117.157500,0.000000,top
"R2","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.430000,-120.747500,0.000000,top
"R3","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.430000,-124.267500,0.000000,top
"R4","1K5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",90.995000,-35.675000,0.000000,top
"R5","1K5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",113.195000,-35.675000,0.000000,top
"R6","1K5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",136.755000,-35.675000,0.000000,top
"R7","1K5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",159.635000,-35.675000,0.000000,top
"R8","1K5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",182.515000,-35.675000,0.000000,top
"R9","1K5","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",205.395000,-35.675000,0.000000,top
"R10","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.430000,-104.957500,0.000000,top
"R11","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.430000,-108.547500,0.000000,top
"R12","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",135.430000,-112.067500,0.000000,top
"R13","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.930000,-104.957500,0.000000,top
"R14","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.930000,-108.547500,0.000000,top
"R15","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.930000,-112.067500,0.000000,top
"R16","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.930000,-117.157500,0.000000,top
"R17","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.930000,-120.677500,0.000000,top
"R18","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",56.390000,-40.625000,0.000000,top
"R19","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",148.930000,-124.267500,0.000000,top
"R20","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.720000,-104.957500,0.000000,top
"R21","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.720000,-108.547500,0.000000,top
"R22","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.720000,-112.067500,0.000000,top
"R23","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.720000,-117.157500,0.000000,top
"R24","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.720000,-120.747500,0.000000,top
"R25","120R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.720000,-124.267500,0.000000,top
"R26","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",230.695000,-36.150000,180.000000,top
"R27","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",244.100000,-39.490000,-90.000000,top
"U1","74LVC1G79","SOT-23-5_HandSoldering",242.150000,-66.575000,0.000000,top
"U2","HV5122","QFP80P1390X1390X235-44N",72.025000,-52.171590,180.000000,top
"U3","HV5122","QFP80P1390X1390X235-44N",232.025000,-52.171590,0.000000,top
